Time	TimeofDay	Left Encoder Velocity CP	
21.254793	1.679790692154E12	0.0	
21.275381	1.679790692174E12	0.0	
21.295049	1.679790692194E12	0.0	
21.315612	1.679790692215E12	0.0	
21.336263	1.679790692235E12	0.0	
21.355975	1.679790692255E12	0.0	
21.376587	1.679790692276E12	0.0	
21.396165	1.679790692295E12	0.0	
21.416732	1.679790692316E12	0.0	
21.437509	1.679790692337E12	0.0	
21.457174	1.679790692356E12	0.0	
21.476855	1.679790692376E12	0.0	
21.497494	1.679790692397E12	0.0	
21.517112	1.679790692416E12	0.0	
21.536964	1.679790692436E12	0.0	
21.557569	1.679790692457E12	0.0	
21.577667	1.679790692477E12	0.0	
21.59938	1.679790692499E12	0.0	
21.619148	1.679790692521E12	0.0	
21.645919	1.679790692545E12	0.0	
21.666653	1.679790692566E12	0.0	
21.687346	1.679790692586E12	0.0	
21.706979	1.679790692606E12	0.0	
21.727603	1.679790692627E12	0.0	
21.748215	1.679790692647E12	0.0	
21.767771	1.679790692667E12	0.0	
21.78835	1.679790692687E12	0.0	
21.807903	1.679790692707E12	0.0	
21.828466	1.679790692728E12	0.0	
21.848155	1.679790692747E12	0.0	
21.867801	1.679790692767E12	0.0	
21.888377	1.679790692787E12	0.0	
21.908006	1.679790692807E12	0.0	
21.928729	1.679790692828E12	0.0	
21.949572	1.679790692849E12	0.0	
21.969292	1.679790692868E12	0.0	
21.9889	1.679790692888E12	0.0	
22.009459	1.679790692909E12	0.0	
22.029037	1.679790692928E12	0.0	
22.04962	1.679790692949E12	0.0	
22.070242	1.679790692969E12	0.0	
22.08991	1.679790692989E12	0.0	
22.11066	1.67979069301E12	0.0	
22.1305	1.67979069303E12	0.0	
22.150061	1.679790693049E12	0.0	
22.170817	1.67979069307E12	0.0	
22.191357	1.67979069309E12	0.0	
22.210906	1.67979069311E12	0.0	
22.231489	1.679790693131E12	0.0	
22.251129	1.67979069315E12	0.0	
22.271731	1.679790693171E12	0.0	
22.292444	1.679790693192E12	0.0	
22.312105	1.679790693211E12	0.0	
22.332703	1.679790693232E12	0.0	
22.353282	1.679790693252E12	0.0	
22.372834	1.679790693272E12	0.0	
22.393401	1.679790693292E12	0.0	
22.413018	1.679790693312E12	0.0	
22.433576	1.679790693333E12	0.0	
22.453191	1.679790693352E12	0.0	
22.472856	1.679790693372E12	0.0	
22.493478	1.679790693393E12	0.0	
22.513111	1.679790693412E12	0.0	
22.533678	1.679790693433E12	0.0	
22.554337	1.679790693453E12	0.0	
22.57396	1.679790693473E12	0.0	
22.594674	1.679790693494E12	0.0	
22.615218	1.679790693514E12	0.0	
22.634809	1.679790693534E12	0.0	
22.655429	1.679790693555E12	0.0	
22.675108	1.679790693574E12	0.0	
22.694907	1.679790693594E12	0.0	
22.715584	1.679790693615E12	0.0	
22.735293	1.679790693634E12	0.0	
22.754899	1.679790693654E12	0.0	
22.775545	1.679790693675E12	0.0	
22.795194	1.679790693694E12	0.0	
22.814783	1.679790693714E12	0.0	
22.835379	1.679790693734E12	0.0	
22.854921	1.679790693754E12	0.0	
22.875659	1.679790693775E12	0.0	
22.896495	1.679790693796E12	0.0	
22.916119	1.679790693815E12	0.0	
22.936672	1.679790693836E12	0.0	
22.957229	1.679790693857E12	0.0	
22.977338	1.679790693876E12	0.0	
22.997185	1.679790693896E12	0.0	
23.017005	1.679790693916E12	0.0	
23.037646	1.679790693937E12	0.0	
23.058191	1.679790693957E12	0.0	
23.077997	1.679790693977E12	0.0	
23.098825	1.679790693998E12	0.0	
23.11946	1.679790694019E12	0.0	
23.139135	1.679790694038E12	0.0	
23.159677	1.679790694059E12	0.0	
23.180201	1.679790694079E12	0.0	
23.19981	1.679790694099E12	0.0	
23.220358	1.679790694119E12	0.0	
23.239962	1.679790694139E12	0.0	
23.260472	1.67979069416E12	0.0	
23.28003	1.679790694179E12	0.0	
23.30059	1.6797906942E12	0.0	
23.321174	1.67979069422E12	0.0	
23.341666	1.679790694241E12	0.0	
23.362256	1.679790694261E12	0.0	
23.381817	1.679790694281E12	0.0	
23.402393	1.679790694301E12	0.0	
23.422049	1.679790694321E12	0.0	
23.442631	1.679790694342E12	0.0	
23.463141	1.679790694362E12	0.0	
23.482769	1.679790694382E12	0.0	
23.503529	1.679790694403E12	0.0	
23.523092	1.679790694422E12	0.0	
23.543607	1.679790694443E12	0.0	
23.564147	1.679790694463E12	0.0	
23.583721	1.679790694483E12	0.0	
23.604275	1.679790694503E12	0.0	
23.623878	1.679790694523E12	0.0	
23.644419	1.679790694544E12	0.0	
23.663933	1.679790694563E12	0.0	
23.684574	1.679790694584E12	0.0	
23.704342	1.679790694603E12	0.0	
23.724064	1.679790694623E12	0.0	
23.744671	1.679790694644E12	0.0	
23.765203	1.679790694664E12	0.0	
23.784723	1.679790694684E12	0.0	
23.805297	1.679790694704E12	0.0	
23.824818	1.679790694724E12	0.0	
23.845347	1.679790694744E12	0.0	
23.864862	1.679790694764E12	0.0	
23.885389	1.679790694784E12	0.0	
23.904933	1.679790694804E12	0.0	
23.925536	1.679790694825E12	0.0	
23.945145	1.679790694844E12	0.0	
23.965673	1.679790694865E12	0.0	
23.986279	1.679790694885E12	0.0	
24.005919	1.679790694905E12	0.0	
24.026445	1.679790694926E12	0.0	
24.046057	1.679790694945E12	0.0	
24.066611	1.679790694966E12	0.0	
24.087177	1.679790694986E12	0.0	
24.106849	1.679790695006E12	0.0	
24.127994	1.679790695027E12	0.0	
24.148685	1.679790695048E12	0.0	
24.169283	1.679790695069E12	0.0	
24.189013	1.679790695088E12	0.0	
24.209538	1.679790695109E12	0.0	
24.229065	1.679790695128E12	0.0	
24.248702	1.679790695148E12	0.0	
24.26927	1.679790695168E12	0.0	
24.288796	1.679790695188E12	0.0	
24.30935	1.679790695209E12	0.0	
24.32894	1.679790695228E12	0.0	
24.349524	1.679790695249E12	0.0	
24.369035	1.679790695268E12	0.0	
24.389551	1.679790695289E12	0.0	
24.409091	1.679790695308E12	0.0	
24.429635	1.679790695329E12	0.0	
24.450165	1.679790695349E12	0.0	
24.470929	1.67979069537E12	0.0	
24.49165	1.679790695391E12	0.0	
24.512246	1.679790695411E12	0.0	
24.531863	1.679790695431E12	0.0	
24.552496	1.679790695452E12	0.0	
24.572075	1.679790695471E12	0.0	
24.592621	1.679790695492E12	0.0	
24.613314	1.679790695512E12	0.0	
24.632909	1.679790695532E12	0.0	
24.653435	1.679790695553E12	0.0	
24.67318	1.679790695572E12	0.0	
24.692781	1.679790695592E12	0.0	
24.713298	1.679790695612E12	0.0	
24.73285	1.679790695632E12	0.0	
24.753398	1.679790695653E12	0.0	
24.772878	1.679790695672E12	0.0	
24.793597	1.679790695693E12	0.0	
24.814132	1.679790695713E12	0.0	
24.834677	1.679790695734E12	0.0	
24.855212	1.679790695754E12	0.0	
24.874723	1.679790695774E12	0.0	
24.895449	1.679790695795E12	0.0	
24.915103	1.679790695814E12	0.0	
24.935644	1.679790695835E12	0.0	
24.956285	1.679790695855E12	0.0	
24.975882	1.679790695875E12	0.0	
24.996498	1.679790695896E12	0.0	
25.016076	1.679790695915E12	0.0	
25.036698	1.679790695936E12	0.0	
25.057312	1.679790695956E12	0.0	
25.076857	1.679790695976E12	0.0	
25.097527	1.679790695997E12	0.0	
25.117144	1.679790696016E12	0.0	
25.136755	1.679790696036E12	0.0	
25.157492	1.679790696057E12	0.0	
25.17719	1.679790696076E12	0.0	
25.196787	1.679790696096E12	0.0	
25.217357	1.679790696116E12	0.0	
25.236946	1.679790696136E12	0.0	
25.257589	1.679790696157E12	0.0	
25.278255	1.679790696177E12	0.0	
25.298193	1.679790696197E12	0.0	
25.318087	1.679790696217E12	0.0	
25.337838	1.679790696237E12	0.0	
25.358597	1.679790696258E12	0.0	
25.378192	1.679790696277E12	0.0	
25.397853	1.679790696297E12	0.0	
25.418491	1.679790696318E12	0.0	
25.438156	1.679790696337E12	0.0	
25.457859	1.679790696357E12	0.0	
25.478526	1.679790696378E12	0.0	
25.498125	1.679790696397E12	0.0	
25.517757	1.679790696417E12	0.0	
25.538441	1.679790696438E12	0.0	
25.557979	1.679790696457E12	0.0	
25.577838	1.679790696477E12	0.0	
25.597748	1.679790696497E12	0.0	
25.618374	1.679790696518E12	0.0	
25.637937	1.679790696537E12	0.0	
25.658633	1.679790696558E12	0.0	
25.67938	1.679790696579E12	0.0	
25.699462	1.679790696599E12	0.0	
25.71893	1.679790696618E12	0.0	
25.739481	1.679790696639E12	0.0	
25.759168	1.679790696658E12	0.0	
25.778719	1.679790696678E12	0.0	
25.799267	1.679790696698E12	0.0	
25.818771	1.679790696718E12	0.0	
25.839494	1.679790696739E12	0.0	
25.859038	1.679790696758E12	0.0	
25.879571	1.679790696779E12	0.0	
25.900084	1.679790696799E12	0.0	
25.920588	1.67979069682E12	0.0	
